,symbol,instrument_token,date,open,high,low,close,volume
1767,DIVISLAB,2800641,2025-10-15,6580.0,6669.0,6527.0,6587.0,1501636
1768,DIVISLAB,2800641,2025-10-23,6600.0,6675.0,6383.0,6438.5,1185567
1769,DIVISLAB,2800641,2025-10-29,6450.0,6695.0,6450.0,6655.0,862737
1770,MARUTI,2815745,2025-07-23,12540.0,12719.0,12268.0,12469.0,1337862
1771,MARUTI,2815745,2025-07-30,12431.0,12779.0,12225.0,12537.0,1748907
1772,MARUTI,2815745,2025-08-06,12570.0,12959.0,12429.0,12840.0,1263755
1773,MARUTI,2815745,2025-08-13,12840.0,14270.0,12752.0,14250.0,3632049
1774,MARUTI,2815745,2025-08-20,14362.0,14825.0,14156.0,14714.0,2683904
1775,MARUTI,2815745,2025-08-28,14895.0,14938.0,14625.0,14842.0,2240289
1776,MARUTI,2815745,2025-09-03,14875.0,15384.0,14630.0,15365.0,3116768
1777,MARUTI,2815745,2025-09-10,15366.0,15594.0,15038.0,15573.0,2118855
1778,MARUTI,2815745,2025-09-17,15592.0,16325.0,15570.0,16097.0,3094952
1779,MARUTI,2815745,2025-09-24,16188.0,16435.0,15921.0,16029.0,2662198
1780,MARUTI,2815745,2025-10-01,16026.0,16159.0,15708.0,16108.0,1495114
1781,MARUTI,2815745,2025-10-08,16108.0,16432.0,15853.0,16261.0,1675590
1782,MARUTI,2815745,2025-10-15,16300.0,16549.0,16200.0,16396.0,1347006
1783,MARUTI,2815745,2025-10-23,16660.0,16660.0,16200.0,16311.0,1283485
1784,MARUTI,2815745,2025-10-29,16360.0,16428.0,16046.0,16206.0,463198
1785,IDFCFIRSTB,2863105,2025-07-23,72.59,73.2,69.23,70.31,100789213
1786,IDFCFIRSTB,2863105,2025-07-30,70.31,70.31,67.3,69.33,79960996
1787,IDFCFIRSTB,2863105,2025-08-06,69.49,70.37,67.62,69.06,62172343
1788,IDFCFIRSTB,2863105,2025-08-13,69.13,71.6,68.56,71.29,69859022
1789,IDFCFIRSTB,2863105,2025-08-20,70.91,71.7,68.55,68.76,66003978
1790,IDFCFIRSTB,2863105,2025-08-28,68.76,70.3,67.57,69.49,79007905
1791,IDFCFIRSTB,2863105,2025-09-03,69.44,73.65,69.38,73.53,130829799
1792,IDFCFIRSTB,2863105,2025-09-10,73.53,73.99,70.95,71.55,53494601
1793,IDFCFIRSTB,2863105,2025-09-17,71.75,72.56,70.45,70.51,74473925
1794,IDFCFIRSTB,2863105,2025-09-24,70.6,71.31,68.42,69.77,83211986
1795,IDFCFIRSTB,2863105,2025-10-01,69.94,72.15,68.37,71.99,75817845
1796,IDFCFIRSTB,2863105,2025-10-08,71.98,74.65,71.23,72.8,126377688
1797,IDFCFIRSTB,2863105,2025-10-15,72.85,77.35,71.71,76.77,185037982
1798,IDFCFIRSTB,2863105,2025-10-23,76.8,80.13,76.3,79.2,178999365
1799,IDFCFIRSTB,2863105,2025-10-29,79.2,79.92,78.12,78.93,48642744
1800,INDIGO,2865921,2025-07-23,5925.0,5957.0,5703.0,5756.0,2946341
1801,INDIGO,2865921,2025-07-30,5800.0,5930.5,5606.5,5781.5,5788934
1802,INDIGO,2865921,2025-08-06,5800.0,5962.5,5734.5,5927.5,3492683
1803,INDIGO,2865921,2025-08-13,5886.0,6232.5,5886.0,6055.5,2926275
1804,INDIGO,2865921,2025-08-20,6050.0,6173.5,6010.0,6050.0,3186485
1805,INDIGO,2865921,2025-08-28,5875.0,5875.0,5582.0,5665.5,22531830
1806,INDIGO,2865921,2025-09-03,5660.5,5794.0,5608.0,5637.5,3433391
1807,INDIGO,2865921,2025-09-10,5665.0,5778.5,5540.5,5727.5,3345901
1808,INDIGO,2865921,2025-09-17,5749.0,5812.5,5648.5,5732.0,2751579
1809,INDIGO,2865921,2025-09-24,5745.0,5785.5,5501.0,5594.5,17380719
1810,INDIGO,2865921,2025-10-01,5568.0,5706.0,5526.0,5664.0,2756261
1811,INDIGO,2865921,2025-10-08,5637.5,5824.0,5624.5,5759.0,2686263
1812,INDIGO,2865921,2025-10-15,5780.0,5950.0,5775.5,5913.0,2287152
1813,INDIGO,2865921,2025-10-23,5941.0,5945.0,5694.5,5809.0,2564612
1814,INDIGO,2865921,2025-10-29,5815.5,5840.5,5709.0,5725.0,1567051
1815,IGL,2883073,2025-07-23,214.07,215.49,200.05,205.95,22266186
1816,IGL,2883073,2025-07-30,205.99,211.41,199.2,206.87,18181532
1817,IGL,2883073,2025-08-06,206.0,208.83,200.28,206.03,8958916
1818,IGL,2883073,2025-08-13,206.0,209.2,202.4,204.54,5261378
1819,IGL,2883073,2025-08-20,204.55,212.82,203.4,207.58,12703731
1820,IGL,2883073,2025-08-28,207.0,218.25,204.65,216.87,9936606
1821,IGL,2883073,2025-09-03,216.87,222.0,208.76,209.28,7258702
1822,IGL,2883073,2025-09-10,210.0,217.48,209.4,215.71,9791805
1823,IGL,2883073,2025-09-17,216.5,217.4,208.13,208.69,7531585
1824,IGL,2883073,2025-09-24,208.13,210.0,200.8,208.54,8270380
1825,IGL,2883073,2025-10-01,208.0,222.2,205.0,220.12,30464780
