,SYMBOL,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
83,ADANIENSOL,2025-12-01,999.0,1007.4,991.6,998.55,999.1,1516456,15149.03,35215, 529538, 34.92
84,ADANIENSOL,2025-12-02,1002.9,1007.9,974.05,978.8,976.95,1497092,14883.53,28067, 502910, 33.59
85,ADANIENSOL,2025-12-03,976.95,981.8,960.0,970.4,969.5,772602,7521.42,27619, 341941, 44.26
86,ADANIENSOL,2025-12-04,970.0,979.25,965.6,970.0,971.7,612340,5951.15,16995, 267473, 43.68
87,ADANIENSOL,2025-12-05,971.65,980.95,961.1,978.5,978.85,545222,5298.02,22498, 211202, 38.74
88,ADANIENT,2025-11-06,2425.1,2427.1,2307.6,2311.0,2314.3,1978147,46415.24,87565, 712210, 36.00
89,ADANIENT,2025-11-07,2315.0,2402.5,2291.4,2374.8,2369.4,2232889,52763.03,69168, 573863, 25.70
90,ADANIENT,2025-11-10,2380.9,2388.0,2364.0,2365.0,2370.7,559808,13292.24,30696, 143510, 25.64
91,ADANIENT,2025-11-11,2368.0,2378.9,2338.5,2370.2,2366.8,634172,14961.89,33161, 141462, 22.31
92,ADANIENT,2025-11-12,2384.0,2517.5,2361.0,2485.2,2484.5,6685426,165008.95,166963, 2688555, 40.22
93,ADANIENT,2025-11-13,2502.0,2525.0,2468.1,2488.0,2488.2,2706326,67529.8,69562, 1406848, 51.98
94,ADANIENT,2025-11-14,2500.0,2553.7,2481.0,2524.1,2516.8,4496233,113506.71,98231, 2363697, 52.57
95,ADANIENT,2025-11-17,2460.0,2474.9,2421.0,2466.8,2462.0,2672697,65445.36,64529, 1380436, 51.65
96,ADANIENT,2025-11-18,2462.0,2478.6,2434.3,2439.0,2436.8,1245215,30486.74,33053, 620724, 49.85
97,ADANIENT,2025-11-19,2446.5,2449.9,2413.9,2431.0,2433.1,774785,18847.46,29152, 276624, 35.70
98,ADANIENT,2025-11-20,2450.1,2478.9,2440.4,2448.0,2446.1,1526556,37502.64,49383, 408723, 26.77
99,ADANIENT,2025-11-21,2450.0,2456.2,2418.0,2419.0,2422.3,547541,13326.68,23006, 137254, 25.07
100,ADANIENT,2025-11-24,2426.2,2432.3,2393.1,2398.9,2399.2,691419,16661.49,32464, 357557, 51.71
